	CBSA	CountyFIPS	DiversityIndex	GoodForTech	MedianRent	Percent18to35	PercentCollege	StateFIPS	TotalPeople	t2.CBSA	id
0	Montgomery, AL	1						1			01001
1	Daphne-Fairhope-Foley, AL	3	0.2983	No	700.0	19.6731	21.8907	1	203771.0	Daphne-Fairhope-Foley, AL	01003
2	Eufaula, AL-GA	5						1			01005
3	Birmingham-Hoover, AL	7	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01007
4	Birmingham-Hoover, AL	9	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01009
5	Anniston-Oxford-Jacksonville, AL	15	0.4365	No	500.0	24.4664	11.8852	1	115497.0	Anniston-Oxford-Jacksonville, AL	01015
6	Valley, AL	17						1			01017
7	Birmingham-Hoover, AL	21	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01021
8	Enterprise, AL	31						1			01031
9	Florence-Muscle Shoals, AL	33						1			01033
10	Talladega-Sylacauga, AL	37						1			01037
11	Cullman, AL	43						1			01043
12	Ozark, AL	45						1			01045
13	Selma, AL	47						1			01047
14	Fort Payne, AL	49						1			01049
15	Montgomery, AL	51						1			01051
16	Atmore, AL	53						1			01053
17	Gadsden, AL	55	0.3593	No	450.0	20.7209	12.9370	1	103007.0	Gadsden, AL	01055
18	Dothan, AL	61						1			01061
19	Tuscaloosa, AL	65						1			01065
20	Dothan, AL	67						1			01067
21	Dothan, AL	69						1			01069
22	Scottsboro, AL	71						1			01071
23	Birmingham-Hoover, AL	73	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01073
24	Florence-Muscle Shoals, AL	77						1			01077
25	Decatur, AL	79						1			01079
26	Auburn-Opelika, AL	81	0.4930	No	640.0	35.1993	21.5532	1	157327.0	Auburn-Opelika, AL	01081
27	Huntsville, AL	83						1			01083
28	Montgomery, AL	85						1			01085
29	Huntsville, AL	89						1			01089
30	Albertville, AL	95						1			01095
31	Mobile, AL	97	0.5439	No	600.0	24.4109	16.0977	1	415090.0	Mobile, AL	01097
32	Montgomery, AL	101						1			01101
33	Decatur, AL	103						1			01103
34	Tuscaloosa, AL	107						1			01107
35	Troy, AL	109						1			01109
36	Columbus, GA-AL	113						1			01113
37	Birmingham-Hoover, AL	115	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01115
38	Birmingham-Hoover, AL	117	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01117
39	Talladega-Sylacauga, AL	121						1			01121
40	Alexander City, AL	123						1			01123
41	Tuscaloosa, AL	125						1			01125
42	Birmingham-Hoover, AL	127	0.5443	No	600.0	23.7164	23.7672	1	868795.0	Birmingham-Hoover, AL	01127
43	Anchorage, AK	20	0.6067	No	1200.0	32.0566	23.4298	2	299286.0	Anchorage, AK	02020
44	Fairbanks, AK	90						2			02090
45	Juneau, AK	110						2			02110
46	Ketchikan, AK	130						2			02130
47	Anchorage, AK	170	0.6067	No	1200.0	32.0566	23.4298	2	299286.0	Anchorage, AK	02170
48	Sierra Vista-Douglas, AZ	3						4			04003
49	Flagstaff, AZ	5	0.5955	No	1000.0	36.0391	20.5841	4	139457.0	Flagstaff, AZ	04005
50	Payson, AZ	7						4			04007
51	Safford, AZ	9						4			04009
52	Phoenix-Mesa-Scottsdale, AZ	13	0.5833	No	830.0	24.9803	21.2652	4	4168340.0	Phoenix-Mesa-Scottsdale, AZ	04013
53	Lake Havasu City-Kingman, AZ	15						4			04015
54	Show Low, AZ	17						4			04017
55	Tucson, AZ	19	0.5847	No	690.0	25.5473	21.7748	4	1009377.0	Tucson, AZ	04019
56	Phoenix-Mesa-Scottsdale, AZ	21	0.5833	No	830.0	24.9803	21.2652	4	4168340.0	Phoenix-Mesa-Scottsdale, AZ	04021
57	Nogales, AZ	23						4			04023
58	Prescott, AZ	25	0.3285	No	700.0	15.7602	19.8251	4	222047.0	Prescott, AZ	04025
59	Yuma, AZ	27	0.5098	No	600.0	26.0137	10.3615	4	204777.0	Yuma, AZ	04027
60	Mountain Home, AR	5						5			05005
61	Fayetteville-Springdale-Rogers, AR-MO	7	0.4368	No	600.0	27.3083	20.8674	5	474380.0	Fayetteville-Springdale-Rogers, AR-MO	05007
62	Harrison, AR	9						5			05009
63	Camden, AR	13						5			05013
64	Arkadelphia, AR	19						5			05019
65	Pine Bluff, AR	25						5			05025
66	Magnolia, AR	27						5			05027
