"","CBSA","TotalPeople","TotalTech","MedianAge","PercentHighSchool","PercentCollege","PercentPostGrad","MedianIncome","PercentFemale","PercentBornOutOfState","PercentImmigrant","Percent18to35","PercentTech","MedianRent","MedianHouseValue","DiversityIndex"
"1","Abilene, TX",135683,1311,31,0.664239440460485,0.146422175217234,0.04604851013023,20000,0.514670223977949,0.3517537200681,0.0883751096305359,0.294952204771416,0.966222739768431,610,112838.645418327,0.520819961705285
"2","Akron, OH",704634,10835,40,0.717353973836062,0.218240959136232,0.0776474027651235,22800,0.512847804675903,0.24749728227704,0.0600964472335993,0.240106211167784,1.53767771637474,600,140000,0.333425336014444
"3","Albany-Schenectady-Troy, NY",849702,11854,39,0.7302983869639,0.266408693871498,0.114699035661914,28000,0.507775667233924,0.23424329941556,0.0869410687511622,0.252013058695872,1.39507733299439,800,2e+05,0.347330282927353
"4","Albuquerque, NM",139452,1082,39,0.667297708171988,0.196497719645469,0.0792745891059289,20064.2105263158,0.505500100392967,0.492441843788544,0.0693858818805037,0.204235149011846,0.775894214496744,873.01724137931,180000,0.638809834790903
"5","Allentown-Bethlehem-Easton, PA-NJ",106894,2107,43,0.696222425954684,0.248236570808464,0.0708084644601194,26300,0.514687447377776,0.371929200890602,0.108434523920894,0.192377495462795,1.9711115684697,930,250000,0.307297171127508
"6","Amarillo, TX",251850,2052,34,0.626829461981338,0.16011911852293,0.0463053404804447,21000,0.494997022036927,0.316847329759778,0.10381179273377,0.264931506849315,0.814770696843359,650,125000,0.55576216968032
"7","Anchorage, AK",299286,3188,31,0.680629899160001,0.234297628355486,0.0899741384495098,30210.0806451613,0.487092613754068,0.628833289896621,0.14161704857561,0.320566281082309,1.06520184706268,1200,3e+05,0.606657347245232
"8","Ann Arbor, MI",358039,8491,33,0.768829652635607,0.385930024382819,0.168110177941509,25000,0.505721443753334,0.384519563511238,0.133834582266178,0.343348071020196,2.37152935853357,870,230000,0.483265315675841
"9","Anniston-Oxford-Jacksonville, AL",115497,796,40,0.64353186662857,0.1188515719023,0.0438020035152428,17100,0.525996346225443,0.281219425612786,0.0416634198290865,0.244664363576543,0.689195390356459,500,100573.770491803,0.436462245490749
"10","Appleton, WI",183326,1658,37,0.721283396790417,0.222117975628116,0.0554367629250625,28000,0.500196371491223,0.192100411289179,0.0465727720017892,0.246009840393616,0.904399812356131,620,150000,0.233504715917715
"11","Asheville, NC",253347,2104,41,0.732335492427382,0.272416882773429,0.103273376041556,20000,0.520365348711451,0.451475644077096,0.0758524869053117,0.234318938057289,0.830481513497298,700,2e+05,0.295331276590012
"12","Ashtabula, OH",98243,209,42,0.65813340390664,0.0931771220341398,0.0301191942428468,20000,0.501348696599249,0.214376596805879,0.0175381452113637,0.205368321407123,0.212737803202264,500,1e+05,0.183331905501778
"13","Athens-Clarke County, GA",123481,1729,26,0.722135389250168,0.27382350321102,0.126966901790559,10400,0.52606473870474,0.397121824410233,0.111401754116018,0.457900405730436,1.40021541775658,600,150000,0.601868376601282
"14","Atlanta-Sandy Springs-Roswell, GA",3335670,64027,36,0.64849100780353,0.235012456268156,0.0783899486459992,23000,0.512819313661124,0.554979359469012,0.170792074755596,0.234583157206798,1.91946445541675,820,180000,0.638392333869244
"15","Auburn-Opelika, AL",157327,998,31,0.731254012343717,0.215531981160259,0.0849059601975503,18063.3027522936,0.518499685368691,0.479364635440833,0.0681256237009541,0.351992982768374,0.634347569075874,640,168066.666666667,0.493026179607041
