"CBSA","Accountants and auditors","Actors, directors, producers","Actuaries","Administrative support jobs, n.e.c.","Advertising and related sales jobs","Aerospace engineer","Agricultural and food scientists","Air traffic controllers","Aircraft mechanics","Airplane pilots and navigators","Animal caretakers except on farms","Announcers","Architects","Archivists and curators","Art makers: painters, sculptors, craft-artists, and print-makers","Art/entertainment performers and related","Assemblers of electrical equipment","Athletes, sports instructors, and officials","Atmospheric and space scientists","Auto body repairers","Automobile mechanics","Baggage porters","Bakers","Bank tellers","Barbers","Bartenders","Batch food makers","Bill and account collectors","Billing clerks and related financial records processing","Biological scientists","Biological technicians","Boilermakers","Bookbinders","Bookkeepers and accounting and auditing clerks","Broadcast equipment operators","Bus drivers","Bus, truck, and stationary engine mechanics","Business and promotion agents","Butchers and meat cutters","Buyers, wholesale and retail trade","Cabinetmakers and bench carpenters","Carpenters","Cashiers","Cementing and gluing maching operators","Chemical engineers","Chemical technicians","Chemists","Chief executives and public administrators","Child care workers","Civil engineers","Clergy and religious workers","Clinical laboratory technologies and technicians","Computer and peripheral equipment operators","Computer software developers","Computer systems analysts and computer scientists","Concrete and cement workers","Construction inspectors","Construction laborers","Construction trades, n.e.c.","Cooks, variously defined","Correspondence and order clerks","Crane, derrick, winch, and hoist operators","Crossing guards and bridge tenders","Customer service reps, investigators and adjusters, except insurance","Dancers","Data entry keyers","Dental assistants","Dental hygenists","Dental laboratory and medical appliance technicians","Dentists","Designers","Dietitians and nutritionists","Dispatchers","Door-to-door sales, street sales, and news vendors","Drafters","Dressmakers and seamstresses","Drillers of earth","Drillers of oil wells","Drywall installers","Economists, market researchers, and survey researchers","Editors and reporters","Electric power installers and repairers","Electrical engineer","Electricians","Elevator installers and repairers","Elevator operators","Eligibility clerks for government programs; social welfare","Engineering technicians, n.e.c.","Engravers","Excavating and loading machine operators","Explosives workers","Extruding and forming machine operators","Farm workers","Farmers (owners and tenants)","File clerks","Financial managers","Financial services sales occupations","Fire fighting, prevention, and inspection","Fishers, hunters, and kindred","Foresters and conservation scientists","Forge and hammer operators","Freight, stock, and materials handlers","Funeral directors","Furnace, kiln, and oven operators, apart from food","Furniture and wood finishers","Garage and service station related occupations","Garbage and recyclable material collectors","Gardeners and groundskeepers","General office clerks","Geologists","Glaziers","Graders and sorters in manufacturing","Graders and sorters of agricultural products","Guards, watchmen, doorkeepers","Guides","Hairdressers and cosmetologists","Hand molders and shapers, except jewelers","Health aides, except nursing","Health record tech specialists","Health technologists and technicians, n.e.c.","Heating, air conditioning, and refigeration mechanics","Heavy equipment and farm equipment mechanics","Helpers, constructions","Helpers, surveyors","Hotel clerks","Housekeepers, maids, butlers, stewards, and lodging quarters cleaners","Human resources and labor relations managers","Human resources clerks, except payroll and timekeeping","Industrial engineers","Industrial machinery repairers","Inspectors and compliance officers, outside construction","Inspectors of agricultural products","Insulation workers","Insurance adjusters, examiners, and investigators","Insurance sales occupations","Insurance underwriters","Interviewers, enumerators, and surveyors","Janitors","Kindergarten and earlier school teachers","Kitchen workers","Knitters, loopers, and toppers textile operatives","Laborers outside construction","Laundry workers","Lawyers","Legal assistants, paralegals, legal support, etc","Librarians","Library assistants","Licensed practical nurses","Locksmiths and safe repairers","Locomotive operators (engineers and firemen)","Machine feeders and offbearers","Machine operators, n.e.c.","Machinery maintenance occupations","Machinists","Mail and paper handlers","Mail carriers for postal service","Mail clerks, outside of post office","Management analysts","Management support occupations","Managers and administrators, n.e.c.","Managers and specialists in marketing, advertising, and public relations","Managers in education and related fields","Managers of food-serving and lodging establishments","Managers of medicine and health occupations","Managers of properties and real estate","Managers of service organizations, n.e.c.","Masons, tilers, and carpet installers","Material recording, scheduling, production, planning, and expediting clerks","Mathematicians and mathematical scientists","Mechanical engineers","Mechanics and repairers, n.e.c.","Medical scientists","Messengers","Metallurgical and materials engineers, variously phrased","Meter readers","Military","Millwrights","Miners","Misc food prep workers","Misc material moving occupations","Misc textile machine operators","Mixing and blending machine operatives","Molders, and casting machine operators","Motion picture projectionists","Musician or composer","Nail and tacking machine operators  (woodworking)","Not-elsewhere-classified engineers","Nursing aides, orderlies, and attendants","Occupational therapists","Office machine operators, n.e.c.","Office supervisors","Operating engineers of construction equipment","Operations and systems researchers and analysts","Optical goods workers","Optometrists","Other financial specialists","Other health and therapy","Other law enforcement: sheriffs, bailiffs, correctional institution officers","Other mining occupations","Other plant and system operators","Other science technicians","Other telecom operators","Other woodworking machine operators","Packers and packagers by hand","Packers, fillers, and wrappers","Painters, construction and maintenance","Painting machine operators","Paper folding machine operators","Parking lot attendants","Paving, surfacing, and tamping equipment operators","Payroll and timekeeping clerks","Personal service occupations, nec","Personnel, HR, training, and labor relations specialists","Pest control occupations","Petroleum, mining, and geological engineers","Pharmacists","Photographers","Photographic process workers","Physical scientists, n.e.c.","Physical therapists","Physicians","Physicians' assistants","Physicists and astronomers","Plant and system operators, stationary engineers","Plasterers","Plumbers, pipe fitters, and steamfitters","Podiatrists","Police, detectives, and private investigators","Postal clerks, excluding mail carriers","Power plant operators","Precision makers, repairers, and smiths","Pressing machine operators (clothing)","Primary school teachers","Production helpers","Production supervisors or foremen","Programmers of numerically controlled machine tools","Proofreaders","Protective services, n.e.c.","Psychologists","Public transportation attendants and inspectors","Punching and stamping press operatives","Purchasing agents and buyers, of farm products","Purchasing managers, agents and buyers, n.e.c.","Radiologic tech specialists","Railroad conductors and yardmasters","Real estate sales occupations","Receptionists","Records clerks","Recreation facility attendants","Recreation workers","Registered nurses","Repairers of data processing equipment","Repairers of electrical equipment, n.e.c.","Repairers of household appliances and power tools","Repairers of industrial electrical equipment","Repairers of mechanical controls and valves","Respiratory therapists","Retail sales clerks","Roasting and baking machine operators (food)","Rollers, roll hands, and finishers of metal","Roofers and slaters","Sales demonstrators / promoters / models","Sales engineers","Salespersons, n.e.c.","Sawing machine operators and sawyers","Secondary school teachers","Secretaries","Separating, filtering, and clarifying machine operators","Sheet metal duct installers","Ship crews and marine engineers","Shipping and receiving clerks","Shoe repairers","Slicing and cutting machine operators","Small engine repairers","Social scientists, n.e.c.","Social workers","Special education teachers","Speech therapists","Statistical clerks","Stock and inventory clerks","Structural metal workers","Subject instructors (HS/college)","Supervisors and proprietors of sales jobs","Supervisors of agricultural occupations","Supervisors of cleaning and building service","Supervisors of construction work","Supervisors of guards","Supervisors of mechanics and repairers","Supervisors of motor vehicle transportation","Supervisors of personal service jobs, n.e.c.","Surveyors, cartographers, mapping scientists and technicians","Taxi cab drivers and chauffeurs","Teachers , n.e.c.","Technical writers","Telecom and line installers and repairers","Telephone operators","Textile cutting machine operators","Textile sewing machine operators","Therapists, n.e.c.","Timber, logging, and forestry workers","Tool and die makers and die setters","Transportation ticket and reservation agents","Truck, delivery, and tractor drivers","Typesetters and compositors","Typists","Unemployed","Upholsterers","Urban and regional planners","Ushers","Vehicle washers and equipment cleaners","Veterinarians","Vocational and educational counselors","Waiter's assistant","Waiter/waitress","Water and sewage treatment plant operators","Weighers, measurers, and checkers","Welders and metal cutters","Welfare service aides","Winding and twisting textile/apparel operatives","Wood lathe, routing, and planing machine operators","Writers and authors","<NA>"
"Abilene, TX",407,0,0,593,0,0,0,170,1555,0,31,168,0,0,0,224,286,408,0,182,147,0,110,243,44,0,0,0,285,0,0,0,0,519,186,448,86,0,22,0,98,252,2013,0,0,0,0,94,1142,262,664,73,122,124,1187,0,0,555,222,1959,0,0,0,1271,0,227,229,0,96,0,411,0,0,0,69,0,55,0,97,112,83,0,0,539,0,0,0,249,0,0,43,0,92,180,169,374,0,91,0,0,0,0,0,29,33,59,39,709,412,0,200,80,0,78,85,136,0,332,0,334,268,376,0,0,517,1782,182,55,0,330,329,0,0,498,215,116,290,1943,971,280,0,1199,165,123,383,198,91,446,0,33,0,532,0,0,0,38,0,0,417,2300,403,356,684,110,62,196,370,203,0,0,433,77,74,0,0,4627,0,0,1305,33,0,0,0,0,0,0,385,2727,0,0,665,0,0,26,0,232,0,696,268,0,0,0,0,122,28,763,24,0,0,0,149,239,534,0,0,0,189,0,0,239,677,104,0,90,60,413,0,866,105,9,32,0,1529,0,849,0,0,122,0,0,55,0,324,0,15,339,969,38,0,316,1497,0,81,0,86,0,0,1728,0,0,244,0,0,788,0,207,1866,0,0,0,353,0,0,60,0,701,0,76,0,1247,30,981,1767,187,0,109,70,349,0,0,185,298,1358,0,84,0,0,0,85,0,0,158,2337,0,177,270,0,0,32,682,177,211,757,1069,0,0,936,304,0,129,316,54689
"Akron, OH",4817,214,0,1780,405,55,0,0,50,277,1022,0,570,80,660,380,4550,795,0,807,1024,0,1101,897,421,2202,267,379,1265,217,0,108,218,3841,284,1087,276,138,0,527,59,2208,10005,0,96,554,194,3035,3466,1518,1913,729,689,3540,7295,249,123,2709,128,8579,1148,335,334,8555,37,776,960,358,1701,285,1970,289,952,546,578,528,78,0,0,949,870,41,339,1835,95,0,280,1843,115,21,133,404,967,0,390,2418,191,910,0,0,0,99,56,327,0,66,102,6172,3730,0,0,2226,0,1366,140,3122,46,2346,495,614,601,591,0,0,223,3162,1458,167,926,1236,182,0,0,2353,1581,809,571,7646,1956,2470,0,7514,929,2848,1316,666,1804,2553,288,0,0,4925,70,1406,0,764,294,1935,783,17184,3414,2065,2991,1566,1071,1118,2262,1466,0,1009,1961,35,596,209,0,118,264,0,4136,17,0,215,395,0,1117,0,1155,8731,61,209,3371,270,377,0,39,2659,0,671,78,383,0,86,0,1836,1670,1182,388,0,81,0,482,1865,2782,90,0,666,895,82,253,350,2395,0,67,284,135,1427,0,2121,106,0,230,422,7824,117,4932,341,83,912,504,0,317,0,1453,864,0,1278,3113,586,825,1728,9698,1002,0,0,481,0,541,14411,0,74,1501,120,182,9908,0,1616,10764,0,524,0,3242,0,118,229,0,2644,658,206,190,4754,258,4834,11397,604,453,1029,178,1143,372,555,518,878,5437,222,345,385,0,823,503,0,579,273,10610,1274,683,4201,0,0,249,1838,291,2991,3492,8262,150,367,3180,885,0,1788,403,280368
"Albany-Schenectady-Troy, NY",8833,923,0,3145,1419,141,0,0,121,256,813,109,1253,441,60,255,731,1881,104,816,2786,142,1417,1594,772,734,189,133,2548,118,561,189,0,4909,580,2805,818,0,925,965,97,2997,11816,0,123,200,796,2403,4969,2175,1161,997,819,4536,7318,0,455,4728,526,10541,260,42,49,9573,0,1531,631,1328,875,97,3000,876,943,613,748,20,22,0,353,530,1496,216,1236,3180,113,103,280,2756,0,0,0,0,1082,967,1511,3862,794,1052,0,0,0,95,143,0,0,55,659,4415,6941,78,159,1801,0,3627,0,4057,45,2780,348,1770,613,205,182,239,596,3512,1806,570,317,1034,1241,134,0,5335,1130,959,569,9914,2001,1790,0,6555,540,5647,2235,1126,1087,5054,108,0,0,4073,0,844,891,2365,630,2089,1224,23557,3544,4543,3775,2381,1478,2133,1278,2214,529,2258,2273,1227,813,77,0,3039,0,0,5714,0,119,180,0,0,870,0,4670,12541,668,0,8060,1345,1765,237,112,3303,229,2691,0,0,58,0,0,1244,568,1669,428,0,303,0,1153,2146,4395,0,0,839,1789,0,2123,1176,2585,785,0,926,0,1586,0,3141,639,216,214,0,10284,54,1521,65,110,1324,1283,487,87,0,936,1788,488,1727,5080,894,3295,4191,10839,783,0,0,149,112,609,12014,0,0,144,252,0,6547,0,2688,16643,165,306,0,1602,119,48,121,324,4356,833,941,85,3670,396,7349,12478,240,1035,2375,95,966,662,401,61,1216,10576,81,298,234,0,206,539,89,95,706,9992,906,2044,3667,76,60,0,1748,427,3691,4643,7009,242,211,1084,1716,0,586,1046,314016
"Albuquerque, NM",846,0,0,747,85,151,0,0,0,150,199,152,102,111,139,16,847,0,0,0,312,0,0,430,190,233,0,0,280,228,134,0,0,753,70,299,142,0,0,81,0,1046,2472,0,0,0,0,361,905,323,293,19,0,636,446,0,0,785,34,3912,0,0,14,1484,0,262,0,0,109,0,283,288,13,426,0,0,0,0,0,69,13,19,349,427,0,0,18,626,0,0,0,0,710,29,554,711,0,334,0,0,0,0,169,0,0,0,20,54,150,0,34,69,0,516,0,169,0,936,0,649,566,87,0,53,21,270,260,0,0,256,133,0,0,202,144,0,0,1199,569,0,0,1782,86,251,471,0,23,95,77,0,0,122,0,0,143,165,0,571,178,3346,164,308,224,513,97,58,0,244,0,148,371,68,344,0,182,489,0,0,278,0,0,0,20,0,0,0,405,2278,316,0,651,86,0,0,0,956,0,269,0,0,0,0,118,17,0,14,8,0,238,0,77,625,147,0,0,66,27,36,155,179,74,835,0,0,0,0,0,369,0,0,159,0,2206,0,236,207,0,108,276,70,0,0,229,1074,0,1434,509,0,56,430,1790,146,0,0,32,0,192,1370,0,0,28,195,0,969,13,0,1875,0,0,0,69,0,0,0,0,619,203,0,96,952,0,362,3031,216,53,756,0,80,0,0,0,118,1211,0,0,460,0,52,189,12,0,0,1330,0,286,1911,0,0,0,12,28,171,442,1358,25,9,110,485,0,172,0,61073
"Allentown-Bethlehem-Easton, PA-NJ",725,149,0,0,0,0,0,0,0,70,210,0,194,98,88,0,678,91,0,0,468,0,240,308,0,413,0,0,332,0,0,0,0,314,0,377,55,106,0,0,24,1455,1592,0,0,228,168,792,430,53,95,122,0,1053,1054,0,23,181,0,310,89,0,148,568,0,62,132,0,205,0,329,121,0,115,0,0,0,0,0,105,173,184,0,358,321,80,0,362,0,0,0,0,676,168,317,112,0,91,0,0,123,0,0,0,0,124,94,1291,939,0,0,531,0,267,0,1272,0,502,0,202,169,75,0,0,0,565,381,0,0,0,130,0,0,290,533,23,0,1632,57,892,0,490,0,97,92,352,0,538,0,0,0,817,40,663,0,106,0,523,298,3997,258,289,612,178,365,91,166,91,0,0,768,88,243,0,0,26,0,0,829,0,0,0,0,0,0,0,356,653,0,0,759,51,138,0,25,628,0,272,0,209,0,0,147,320,0,78,92,0,0,0,207,485,157,131,0,0,102,0,45,0,95,0,0,119,0,89,0,673,0,87,0,0,2613,0,69,0,28,191,0,40,66,0,165,151,0,192,527,121,394,647,1290,94,0,0,0,0,76,1247,0,0,286,0,0,1696,0,469,2118,71,63,0,77,0,0,0,0,173,94,96,0,956,0,304,2294,36,0,362,0,185,178,0,79,150,1338,145,60,0,0,0,92,0,0,54,1294,33,73,458,0,0,0,0,35,429,205,589,0,111,37,0,0,204,0,38900
"Amarillo, TX",1385,0,0,640,116,0,77,173,373,0,153,0,113,0,26,130,337,231,0,671,909,0,147,654,0,705,127,434,317,91,48,0,30,958,64,186,1110,44,3047,170,36,1453,5071,0,0,0,158,1094,2418,43,625,391,111,643,1409,0,0,1815,6,2750,61,67,149,1722,0,683,623,375,768,0,317,29,97,0,0,0,41,211,708,74,122,74,22,506,0,0,0,28,0,99,0,57,415,756,66,542,0,606,0,0,0,0,0,0,0,156,0,736,939,92,0,729,0,698,0,701,0,828,418,620,325,1035,244,0,206,2417,324,0,112,252,273,0,276,1233,466,0,183,2241,334,636,0,2874,253,519,319,143,39,610,0,483,0,1161,0,255,63,28,203,27,145,4870,695,1416,2593,594,376,658,289,796,0,313,1099,0,302,0,0,468,0,0,1022,10,0,84,35,0,345,0,630,3704,123,254,1531,502,71,103,48,481,0,848,111,0,372,0,0,425,0,515,388,0,0,0,61,989,398,63,143,509,97,0,262,300,522,0,0,50,112,1754,0,863,220,0,144,0,5442,0,439,0,0,0,46,0,84,86,536,218,246,451,758,130,182,300,3797,171,88,0,0,97,0,5132,0,0,578,0,0,2595,60,835,3206,132,0,0,269,0,103,0,0,397,99,135,0,1654,0,867,5659,199,201,1597,125,909,413,247,0,217,2397,0,215,71,0,0,227,0,0,86,4175,74,366,239,82,0,0,897,0,337,359,2580,82,194,600,185,0,174,228,102721
"Anchorage, AK",2898,0,0,1329,0,0,274,470,1132,1939,0,0,469,0,0,149,0,160,189,171,697,213,109,214,244,0,198,0,325,0,0,0,0,2573,467,0,130,0,925,740,0,1453,5848,0,0,0,0,2021,2488,736,96,383,0,190,2998,0,0,3118,0,4758,0,0,0,3140,0,839,278,269,284,286,162,0,1226,0,0,0,0,0,268,0,1531,0,0,1234,0,0,248,905,0,0,0,0,0,0,240,1016,139,472,970,0,0,0,0,0,0,1124,0,573,2818,672,229,760,600,157,1242,1197,0,420,0,1390,0,606,0,0,478,2267,806,0,0,100,508,0,403,141,88,0,473,3714,505,0,0,3944,611,1678,781,0,0,1236,0,0,0,511,0,38,0,517,0,912,451,8753,1108,109,2057,526,257,474,0,1519,84,257,1020,0,0,0,0,9821,0,425,2843,0,0,139,0,0,201,0,360,3734,0,0,468,0,475,0,0,678,1601,0,104,0,0,0,0,0,0,833,0,0,0,0,259,335,1334,0,1334,208,703,0,0,224,1403,0,0,91,0,443,0,1076,337,0,990,484,3841,0,209,0,0,142,410,573,0,0,932,838,0,139,3102,0,914,0,2800,0,0,0,867,0,0,5222,0,0,458,721,0,1530,0,666,4586,0,0,0,1093,0,0,168,644,686,717,322,0,3720,0,1561,4537,840,0,780,0,0,431,455,871,426,1891,0,623,0,0,0,0,91,0,826,2875,0,0,1941,0,0,0,0,0,1545,1115,2322,0,0,475,365,0,0,487,106901
"Ann Arbor, MI",2918,267,0,1330,53,137,0,96,275,381,0,92,181,102,261,410,2298,917,0,57,1488,190,308,673,136,1716,288,261,407,198,0,0,0,1806,198,299,638,0,61,261,89,1002,5765,0,0,0,793,1584,2686,234,1006,428,359,3133,5358,0,71,1451,0,5287,119,136,0,2946,0,265,480,91,855,292,1520,58,113,138,175,0,91,0,812,883,646,219,423,567,0,0,144,4527,0,0,0,0,688,478,194,1430,322,454,118,0,86,39,110,0,0,0,224,2119,2809,0,88,584,0,1043,94,1124,0,1118,101,924,236,0,0,0,80,2373,1188,61,811,390,603,0,0,483,72,0,350,4576,678,521,0,3368,372,1516,697,277,679,695,0,0,0,1337,0,115,0,336,33,1594,961,11342,2307,2176,536,1996,282,1758,328,1267,348,2945,946,993,121,0,0,456,0,0,3397,0,0,0,0,88,1119,0,972,3866,497,0,1524,66,0,123,0,2266,0,97,0,0,0,0,0,64,163,310,0,0,0,0,49,1255,773,0,0,781,549,142,1669,258,4559,268,0,42,0,632,0,984,0,0,261,0,6005,0,827,90,0,384,843,327,81,0,197,422,0,1987,1578,279,138,1206,5705,385,0,0,0,35,54,6311,0,0,264,87,84,2832,0,1260,3565,0,0,0,434,0,284,0,0,2680,162,0,91,3745,0,12804,5171,0,558,92,113,240,76,60,126,897,5422,0,144,37,0,0,349,0,75,0,2711,163,361,1876,0,0,226,564,86,956,1820,3493,88,0,0,313,0,725,317,119261
"Anniston-Oxford-Jacksonville, AL",0,0,0,378,137,107,0,0,94,0,486,0,0,108,0,0,1619,0,0,0,352,0,0,107,0,443,0,0,269,0,0,0,0,760,0,78,118,0,0,0,0,1041,2043,0,0,77,0,362,752,0,280,42,0,479,317,134,59,974,0,2408,0,0,0,1243,0,298,0,126,764,0,226,64,95,0,0,0,0,0,0,136,0,0,0,537,0,0,0,396,0,0,0,0,0,98,226,769,0,66,0,57,0,0,0,0,0,0,53,739,284,0,0,98,0,917,53,758,0,72,42,245,0,317,0,130,0,566,96,0,275,185,48,0,0,72,107,0,160,1279,220,218,0,870,0,77,136,125,0,469,0,138,0,1557,0,559,52,610,0,107,0,2751,602,393,43,202,82,139,0,209,0,114,635,0,0,0,0,256,0,0,586,0,0,0,0,0,0,0,174,675,0,65,242,186,110,0,0,606,0,393,0,0,0,0,0,0,30,115,0,0,0,0,0,125,68,0,0,0,0,0,0,0,0,0,0,28,0,327,0,320,0,92,0,0,1200,0,1224,0,0,101,0,0,283,0,350,0,0,0,138,87,0,137,783,194,0,0,171,0,0,2068,0,0,102,0,0,886,0,461,1370,105,132,0,386,0,0,0,0,390,0,168,0,551,0,633,2745,164,0,673,0,91,0,0,0,176,605,0,137,0,0,0,323,0,146,0,2137,0,97,1498,129,0,0,160,0,333,557,1865,0,184,1272,47,0,387,59,49465
"Appleton, WI",1712,0,0,180,0,0,0,128,40,55,311,0,0,0,197,0,1664,366,0,0,392,0,365,366,0,882,278,0,452,0,0,0,155,779,0,242,269,0,146,428,68,565,3186,0,0,306,0,1024,881,491,33,50,111,1143,515,0,0,1710,0,3115,0,32,0,3500,0,156,0,222,236,0,1120,0,193,0,342,0,0,0,386,0,0,266,0,1310,0,0,0,1132,121,0,0,0,730,574,0,1000,0,462,0,0,0,0,0,0,0,0,0,159,1157,0,0,208,0,360,0,225,0,513,75,272,27,306,30,121,0,849,75,135,137,693,32,0,0,1613,826,202,500,782,202,120,0,1615,50,401,282,124,456,315,0,0,0,3542,103,653,0,264,0,640,620,6332,668,758,942,261,231,280,0,206,0,222,991,0,198,0,0,0,453,0,1208,0,0,103,0,0,39,0,501,1435,266,0,660,582,85,351,331,1256,64,295,0,0,0,0,0,893,426,185,293,319,0,0,386,385,942,0,0,413,277,0,0,75,640,36,0,138,33,826,0,745,0,0,0,0,3474,181,1680,242,0,294,0,0,391,0,377,425,0,960,598,0,299,356,3183,0,132,0,46,0,0,2658,183,0,266,0,0,1933,0,996,3051,0,0,0,225,0,0,0,0,651,0,0,0,1034,132,536,2613,251,0,0,60,0,0,232,0,36,1577,0,0,0,0,52,284,0,0,0,3531,1488,122,642,0,0,0,0,0,422,117,1081,0,0,1091,515,0,445,0,65663
